query-id	corpus-id	score
81040	3395711	1
621319	7212084	1
593695	1948294	1
836804	3763452	1
698626	6018642	1
152405	4829793	1
871573	3631869	1
336623	2894366	1
499597	967370	1
899050	3423620	1
837008	4684757	1
564967	7193222	1
816426	6228288	1
77712	6517962	1
1165884	7901941	1
721657	5272894	1
160812	2270594	1
908994	3189183	1
836804	3036606	1
993958	5963985	1
39831	3151374	1
717915	1749789	1
993324	2491725	1
736536	8004140	1
116567	2693971	1
747292	6924777	1
556140	1850987	1
767283	4215954	1
781026	2950032	1
567868	1743804	1
676986	6247933	1
283156	5747240	1
851511	4143898	1
829189	5420891	1
317115	4467779	1
90577	3349644	1
622008	1992498	1
52741	6754163	1
483332	1627171	1
760965	289054	1
939565	4981297	1
530536	7373141	1
511121	936891	1
1142396	2308915	1
747749	954871	1
1024402	4644081	1
573736	628035	1
920367	3293321	1
399575	345167	1
98043	2790382	1
422953	344315	1
103606	1907961	1
821108	4150293	1
576341	3828889	1
577475	935959	1
758548	661989	1
133129	1727182	1
798267	747912	1
428323	3741318	1
162409	538739	1
188717	2277775	1
51256	2029207	1
1005416	4944456	1
833401	5243365	1
515100	5871641	1
594247	3031882	1
859353	3379876	1
645837	6029604	1
639942	283409	1
313197	6379419	1
1057645	2580831	1
510530	552726	1
717165	5909577	1
967266	5197662	1
406374	6737431	1
929477	4029418	1
776220	2611293	1
103134	4658337	1
368946	6567525	1
973907	6226908	1
609151	564956	1
913353	3355855	1
1153524	1253370	1
807076	6295135	1
721551	1468210	1
888996	4846717	1
303194	5865097	1
189204	192614	1
970790	5291131	1
846970	3134943	1
904121	3462033	1
462853	603080	1
533750	1351710	1
895499	2370313	1
100554	3383132	1
338035	5170506	1
642091	3131587	1
1140505	2491640	1
122710	798246	1
811354	4477916	1
