query-id,corpus-id,score,text_x,text_y
183636,2987794,1,explain how meiosis can result in genetic variation amongst offspring,"Quick Answer. Meiosis contributes to genetic variation by creating new groups of genes, according to the University of Miami Miller School of Medicine. The new groups are created when chromosomes passed down from a mother and father share instructions encoded into genes."
866984,2278364,1,what kind of cinnamon is canela molida,"True cinnamon is the bark of a tree native to Sri Lanka (formerly Ceylon), the most prevalent species names of which are Cinnamomum verum (true cinnamon) and C. zeylanicum (Ceylon cinnamon), of which C. seylanicum is a variant spelling.In Europe, the word cinnamon is limited to this species.t further states that this is not the biblical cinnamon, which is C. cassia. On the other hand, the McCormick company labels its cinnamon canela molida, obviously a different species."
241105,4202233,1,how long can a car stay running idle,"Everyday in the U.S. millions of cars and trucks idle needlessly, sometimes for hours. You may not be able to avoid keeping your engine running when youâre stopped at a traffic signal or stuck in slow-moving traffic. But other times idling is unnecessary. An idling car can release as much pollution as a moving car."
809018,4054654,1,what is the biggest elephant species,"At birth it is common for an elephant calf to weigh 120 kg (265 lb). An elephant may live as long as 70 years, sometimes longer. The largest elephant ever recorded (the Fenykovi elephant, now in the Smithsonian Institution) was shot in Angola in 1955."
596043,2208966,1,what city is mlb draft being held,"Reds get 1st pick in Competitive Balance Round A. In a drawing conducted in New York, the Reds received the first selection in Competitive Balance Round A, which immediately follows the first round of the 2016 MLB Draft."
66875,3580669,1,can ear earplugs be reused,"Answers. Best Answer: It's fine to reuse ear plugs as long as you clean your ears each time before inserting them. You'll need to replace them occasionally, depending on how often they're used. I've found that the yellow cylindrical ones work better and stay clean longer than the standard orange ones."
786097,4808884,1,what is pragmatic rules of language,"These innate skills come naturally to some; however, others struggle with what is commonly referred to as pragmatic language. Pragmatics, expressive (or spoken) language, and receptive (or the understanding of) language comprise the three tiers of language. Pragmatic language can be thought of as the ârules of language,â and it is a group of skills some children need to learn, much like reading and writing."
698764,462604,1,what is a sailors kit bag called,"A sailors small bag to hold thread, needles, tape, etc.; --. also called sailor's housewife. US Navy --. DITTY BAG: A ditty bag (or box) was originally called a ditto bag because it contained at least two of everything: two needles, two spools of thread, two buttons, and so forth."
490138,471602,1,rough price per square for roofing,"According to Homewyse, which provides average costs for home improvement projects, the cost per square foot for a wood shingle roof is between $6.37 and $8.77. That equates to about $1,274 to $1,754 per 200 square feet (or for two squares)."
68511,6407714,1,can i catch the flu from my partner during sex,"Report Abuse. It is possible for you to contract the cold/flu if your partner had the cold/flu when you performed oral sex on him. Both the common cold and the flu are very contagious viral infections, and can be transmitted by any sort of contact between an infected person and someone who is not infected.pdate: maybe I should claify.. and the Flu virus be transmitted though bodily fluids other than the mouth, whether a male transfer to a female via sperm or a female transfers bodily fluids to a male other than from her mouth."
604802,6994331,1,what county is cropsey il in,"Cropsey Township, McLean County, Illinois. From Wikipedia, the free encyclopedia. Cropsey Township is located in McLean County, Illinois. As of the 2010 census, its population was 222 and it contained 90 housing units. It was named after Col. A. J. Cropsey, the owner of a large farm in the area."
73766,2263296,1,can spinal cord injuries heal,"Medications may be used to manage some of the effects of spinal cord injury. These include medications to control pain and muscle spasticity, as well as medications that can improve bladder control, bowel control and sexual functioning."
1171413,2570995,1,provision for credit losses definition,"In accounting, an estimation of potential losses that a company might experience due to credit risk. Provision for credit losses is an estimated amount to be lost and is treated as an expense on the company's financial statements. Companies that engage in lending activities determine the provision for credit losses based on statistics that define the likelihood that debt will be recovered."
328312,6015345,1,how much sun does a pineapple plant need,"In general, pineapple plants should be planted in full sun for best growth and fruit production. Select a part of the landscape at least 5 feet (1.5 m) away from other trees, buildings and structures where minimal shading occurs. The distance between individual pineapple plants ranges from 12 to 36 inches (21â91 cm)."
721657,5272894,1,what is axid?,"AxidÂ®(Nizatidine, USP) is a histamine H2-receptor antagonist. Chemically, it is N-[2-[[[2-[(dimethylamino)methyl]-4-thiazolyl]methyl]thio]ethyl]-N'-methyl-2-nitro-1,1-ethenediamine."
621417,5920550,1,what disney movie is iago from,"Iago (Aladdin) Iago (voiced by Gilbert Gottfried) is a fictional character in the 1992 Disney animated film Aladdin, a talking parrot, he is a Scarlet macaw species who served as a sidekick for Jafar."
114933,2055996,1,cytoplasm inside the nucleus,"Yes, all organelles, including the nucleus, of a eukaryotic cell are contained within the cell's cytoplasm.However, the nucleus also contains its own cytoplasm, known as the nucleoplasm, which is different in composition from the cellular cytoplasm. The nucleus of a cell is found in the center, not to be confused with the nucleolus, which is inside of that. The cytoplasm surrounds the nucleus and is the fluid that c â¦ ontains the different ribosomes, etc."
98213,2863152,1,convert btc to bits,"You can convert into Bitcoin (BTC) or Bits, the two most popular scales of the moment. Reminder: 1BTC = 1.000.000 BITS. You can convert into Euro or Dollar. (but also Real, Yuan, Pound, Rupee). It is possible to know the balance of an address by entering it in one of the fields."
496456,2059273,1,should i freeze cookie dough before baking,"Most cookie doughs freeze extremely well and can be kept frozen for up to 4 or 6 weeks. Use these tips for freezing: 1  Double-wrap dough in plastic wrap to prevent freezer burn and absorption of odors from your freezer.2  Write the type of cookie dough and the date it was frozen on the outside of the package.3  When you are ready to bake, simply let the dough defrost in the refrigerator.ost cookie doughs freeze extremely well and can be kept frozen for up to 4 or 6 weeks. Use these tips for freezing: 1  Double-wrap dough in plastic wrap to prevent freezer burn and absorption of odors from your freezer."
520858,6048403,1,time difference between us and turkey,"Time difference between Istanbul, Turkey and New York, New York, USA. Istanbul is 7 hours ahead of New York. Find out the distance between Istanbul and New York. Find out the time difference between Istanbul and other cities. Find out the time difference between New York and other cities."
248658,5429059,1,how long do you stay contagious with flu,"The Flu Is Contagious. Most healthy adults may be able to infect other people beginning 1 day before symptoms develop and up to 5 to 7 days after becoming sick. Children may pass the virus for longer than 7 days. Symptoms start 1 to 4 days after the virus enters the body.eople with flu can spread it to others up to about 6 feet away. Most experts think that flu viruses are spread mainly by droplets made when people with flu cough, sneeze or talk. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs."
313450,713185,1,how much does coaching jobs make?,"How much does a Coach/Scout make? The median annual Coach/Scout salary is $38,864, as of March 31, 2017, with a range usually between $32,000-$47,350, however this can vary widely depending on a variety of factors."
1149964,1596080,1,what is the net worth of judge judy,"In early nineties she became extensively called a girl dedicated to boost a quality of courtroom system in america. Judge Judy web worth is now estimated at $90 million. When it comes to year 2012 Judiths yearly wages was $45 million, making her the highest-paid television character. Judge Judy Net Worth $45 Million Dollars Judith was born in Ny in 1942. Her grand parents from her dads side were equally immigrants from Russian Federation and Ukraine."
674732,1528946,1,what is a bio ethanol fireplace,"ETHANOL, CLEAN BURNING & ECO-FRIENDLY FIREPLACES. stylish bio fire. anytime. anywhere. Clean Flames. If you re looking for a way to provide natural ambience and light in your home, Clean Flames' bio ethanol fireplaces are the simple, natural solution you re looking for. Clean Flames Eco-friendly fireplaces provide beautiful, clean flames without fumes, odors, nor smoke. They re a quick, easy way to bring an old fireplace back to life, add interesting decor to your home s interior, or set the stage for outdoor socializing. Clean Flames offers a wide variety of bioethanol fireplaces, all with easy-to-use, clean-burning technology that will provide hours of light and warmth."
807831,3371157,1,what is the basil,"Basil UK: /ËbÃ¦zÉl/;[1] US: /ËbeÉªzÉl/[2] (Ocimum basilicum), also called great basil or Saint-Joseph's-wort, is a culinary herb of the family Lamiaceae (mints). It is also called the king of herbs and the royal herb. The name basil comes from Greek Î²Î±ÏÎ¹Î»Î¹ÎºÏÎ½ ÏÏÏÏÎ½ (basilikÃ³n phutÃ³n), royal/kingly plant.[3]"
26286,362045,1,are you allowed to ask for a certain gender,"It is illegal for an employer, employment agency or union to take into account a person's race, color, religion, sex (including gender identity, sexual orientation, and pregnancy), national origin, age (40 or older), disability or genetic information when making decisions about job referrals."
739992,155680,1,what is directv active,"View Profile. Hi all, I have an 880 and a Sony SAT60T series 1. Directv now has a service called 'Active' that takes you to a channel with multiple screens than you can cursor around in. (PIP). But to use the arrow keys to move around you must get there by pushing the 'Active' button on the control."
788334,4556569,1,what is pumpkin seed oil capsules good for,"Long used as a folk medicine for prostate health, pumpkin seed oil reduces the size of an enlarged prostate, especially in the instance of benign prostatic hyperplasia (age-related prostate enlargement). (16, 17) Thatâs why I pumpkin seed oil use is one of three steps to improve prostate health!"
848415,4615081,1,what is the state income tax rate in anderson sc,"The unemployment rate in Anderson, South Carolina, is 5.90%, with job growth of 2.84%. Future job growth over the next ten years is predicted to be 39.78%. Anderson, South Carolina Taxes. Anderson, South Carolina,sales tax rate is 7.00%. Income tax is 7.00%."
929477,4029418,1,what's a billion times a billion,"The original meaning of billion, established in the 15th century, was a million of a million (1,000,000 to the power of 2, hence the name billion), or 10 to the power of 12 = 1 000 000 000 000."
568010,753288,1,what are the certificates you have to have to study for culinary,"Cater to a Bigger Audience: Catering & Buffets*. Get a culinary arts certificate and study the business side of catering theme parties, weddings, holidays, and special events. Through this hands-on culinary arts certificate course, you can learn: Classical and contemporary garde manger techniques. How to prepare and serve food in a variety of settings."
817838,6096205,1,what is the difference between light novels and manga,"Manga are comics. The light novels in this case are the original source material, which means that any anime or manga you see of Haruhi Suzumiya will be adapted from the light novels. Each of the light novels has a few pictures (the first Haruhi light novel has 8 full color pages of pictures in the back). I have not read the Haruhi manga, but I would recommend the light novels if you are looking for something a bit different."
559919,905882,1,what are hemorrhoids symptoms,"About half of all people have hemorrhoids by age 50. The most common symptom of hemorrhoids inside the anus is bright red blood covering the stool, on toilet paper or in the toilet bowl. Symptoms usually go away within a few days. If you have rectal bleeding you should see a doctor."
808973,4724278,1,what is the biggest city clock in the world,"Oslo City Hall, an 8.6 meter clock on the east tower south side. Raketa Monumental in Detsky Mir on Lubyanka Square in Moscow, 8-meter clocks with a 13 meters pendulum. It is the world's largest clock movement. Total weight of the movement is 5 tons."
466132,1735577,1,novice meaning,"novice meaning, definition, what is novice: a person who is not experienced in a job or situation: . Learn more."
244842,509250,1,how long do dogs sleep for a day,"The average dog sleeps for about 12 to 14 hours per 24-hour cycle. Thatâs just the beginning, though. Puppies, who expend a lot of energy exploring and learning may need as much as 18 to 20 hours."
886530,5293482,1,what period is no interest charged on a credit card purchase,"Required monthly payments may or may not pay off purchase before end of promotional period. * No interest will be charged on the promotional purchase if you pay the promotional purchase amount in full within the 24-month promotional period. If you do not, interest will be charged on the promotional purchase from the purchase date."
160774,6854193,1,do you need a passport to visit colombia,"Canadians must present a passport to visit Colombia, which must be valid for the duration of their stay for tourism purposes, or for at least six months for other purposes for which a visa might be required."
755329,1319290,1,what is holganix,"1 Holganix is an all natural, food-grade organic soil stimulant.  Ingredients include but are not limited to: 100% plant-based compost from grasses and other leaves, crab shells, oyster shells, vegetable waste."
863820,5324774,1,what is xanthine,"Xanthine: A substance found in caffeine, theobromine, and theophylline and encountered in tea, coffee, and the colas. Chemically, xanthine is a purine. There is a genetic disease of xanthine metabolism, xanthinuria, due to deficiency of an enzyme, xanthine dehydrogenase, needed to process xanthine in the body."
144283,898389,1,did jon bon jovi own a football team?,"Bon Jovi Buys A Football Team. Jon Bon Jovi is the proud co-owner of his own football team, Philadelphia Soul. UG editorial team. A group of people who are passionate about guitar and music in general.  The team is new to the ladder. Bon Jovi spent Monday and Tuesday in Philadelphia talking to the media about his latest venture with this co-owner, real estate developer Craig A. Spencer and the Commissioner David Baker."
939321,3062759,1,when did jonathan winters die,"Jonathan Winters dead; Groundbreaking improv comic was 87. This May 6, 1997 file photo shows comedian Jonathan Winters posing at a hotel in Beverly Hills, Calif. Winters, whose breakneck improvisations inspired Robin Williams, Jim Carrey and many others, died Thursday, April 11, 2013."
419461,6171189,1,is norvasc a blood thinner,Best Answer: No. Metoprolol is a beta-blocker. Amlodipine is a special type of calcium channel blocker. Both are used to lower high blood pressure and have no effect on the blood.est Answer: No. Metoprolol is a beta-blocker. Amlodipine is a special type of calcium channel blocker. Both are used to lower high blood pressure and have no effect on the blood.
104398,725411,1,cost of gutter cleaning,"Related articles: Gutters, Roof Repair, Window Cleaning. 1  Cleaning the gutters on a single-story 1,500-square foot house with about 160 linear feet of gutter will run $70-$200. 2  Cost for a single-story 2,000-square foot home with around 180 linear feet of gutter is about $90-$225."
756150,1898538,1,what is human hair remy,"Remy human hair is the highest grade of real, human hair that is a preferred choice for hair extensions, hairpieces and wigs because it achieves the most natural look. Remy hair is considered to be the finest quality of human hair because the cuticles are kept intact and not stripped, like in most other non-remy hair extensions. Preserving the hairsâ cuticles and aligning them in a unidirectional fashion creates extensions that are completely natural in appearance."
158395,635433,1,do planks really work,"To test and strengthen your balance, try a side plank with a leg raise â get into side plank position, then lift your top leg and hold for one count. Lower it and repeat, then switch sides. In addition, planks work all the muscles you need to maintain proper posture, like your back, chest, shoulders, abs, and neck."
909002,4643516,1,what training and education are required to be an air marshal,"Artesia -. The Federal Air Marshal Training Program (FAMTP) is a basic law enforcement training course taught at the Federal Law Enforcement Training Centers (FLETC) in Artesia, New Mexico. The program is a general introduction to law enforcement and teaches the basic knowledge and skills common to all federal law enforcement agencies."
745498,6945182,1,what is ewg,"The neutrality of this article is disputed. (July 2016) The Environmental Working Group (EWG) is an American environmental organization that specializes in research and advocacy in the areas of toxic chemicals, agricultural subsidies, public lands, and corporate accountability."
948858,3804642,1,when feel further along in pregnancy than due date,"A working knowledge of the key terms used in pregnancy dating is helpful in the treatment of miscarriages and other pregnancy losses. A due date, for example, is the estimated date of delivery (EDD, or sometimes EDC) or the date when a pregnancy reaches exactly 40 weeks from the last menstrual period."
192486,934134,1,function of renin in curdling of milk,"Due to its important role in curdling milk, rennin enzyme is widely used in the food industry, notably in the production of cheese. Rennin for cheese-making was once derived mainly from the dried stomachs of calves and from some non-animal sources.ennin enzymes are produced by the stomach cells of young mammals. Rennin is secreted in large amounts right after the birth and then its production gradually drops off. It is then eclipsed in importance by the Pepsin enzyme."
608427,6852044,1,what county is lavonia ga,"Lavonia, Georgia. Lavonia is a city in Franklin County, Georgia, United States. The population was 2,156 at the 2010 census, up from 1,827 at the 2000 census. Contents."
283262,4744158,1,how many exercises per body part,You need to do a total of 1-4 exercises per body part depending on individual ability level. The beginning individual can do one to two exercises per body part. The intermediate individual could perform two to three exercises per body part while the advanced individual could perform two to four exercises per body part.
974391,2874580,1,where does the last name garza come from,"Garza is the 26th most common Hispanic surname. Surname Origin: Spanish. Alternate Surname Spellings: DE GARZA, DE LA GARZA, GARZO, GARZON. Famous People with the Surname GARZA: 1  Alana de la Garza-an American actress."
1139463,2588828,1,which soap opera holds the record for the longest running scripted tv show,"Guinness World Records General Hospital was listed as âthe longest-running American soap opera in productionâ in the Guinness World Records. Itâs also the third longest-running scripted drama series in production, after the ever popular Guiding Light and As The World Turns. But, it also hold an important third-place in the worldâs longest-running scripted drama, after The Archers and Coronation Street (which are both British TV shows). Over the years, the running time of the show has evolved from 39 minutes to 45 to 60."
289606,6412278,1,how many ml do capsules,"Nespresso has 19 different coffee capsules. Each capsule has five to six grams of ground coffee and is equivalent to one cup of coffee. Based on the length of the pour, the capsule is designed for 40 ml for an espresso shot, or 110 ml for a long pour. The perforated top and capsule material are both made out of aluminum. There are other companies that have produced capsules compatible with most coffee machines., along with those made by Nespresso."
490313,6001695,1,routing number for community bank of texas,Routing Number for CommunityBank of Texas NA in TX (for all transaction types) is 113111983. **Address mentioned in the table may differ from your branch office address. Routing number of a bank usually differ only by state and is generally same for all branches in a state.
990732,4686537,1,where is poinciana fl located,"Poinciana, Florida. Poinciana is a settlement and census-designated place (CDP) in Osceola and Polk counties in the U.S. state of Florida. It lies southwest of Kissimmee and approximately 14 miles (23 km) east of Haines City. As of the 2010 United States Census, the CDP had a population of 53,193."
284835,3215355,1,how many grams make a quarter,A quarter = 2 eighths = 7 grams. A quarter is often referred to as a âquadâ. A quarter is 1/4 of an ounce. If you are buying a quarter then you are probably preparing to get pretty stoney. I commend this decision.
