query-id,corpus-id,score,text_x,text_y
99551,3315324,1,copper sulphide minerals,"The most successful copper heap leaching operations have been those processing copper oxides and secondary copper sulphides (Table 1). Chalcocite (Cu2S) is the main copper sulphide mineral mined at bioleaching operations. Some of the chalcocite heap operations began as oxide (chemical) leach operations and were converted to bioleach (oxidative) operations by heap aeration and/or inoculation, when the oxidised ore was depleted."
81040,3395711,1,can you wax matte finish paint,You can use Ultimate Quik Wax if you spray it onto a microfiber towel rather than directly onto the paint itself. It will keep a nice sheen to the finish but it won't turn matte paint to gloss. You can also use Ultimate Quik Detailer if you prefer.
973907,6226908,1,where does spaghetti originate from,"1 vote Vote for this answer. While many believe that spaghetti (or even pasta in some accounts) originated in China (where long thin noodles have a lengthy history), some now assert that the reading of a lost Marco Polo manuscript which led to this belief, was in fact an inaccurate Latin translation.egend has it that Cicero, the famous Roman orator was fond of laganum, an ancient tagliatelle. The Saracens, originally from North Africa, invaded southern Italy in the 9th century and occupied Sicily for 200 hundred years. Pasta is now associated with Italians as a whole."
690081,5874016,1,what is a margin account,"DEFINITION of 'Margin Account'. A brokerage account in which the broker lends the customer cash to purchase securities.The loan in the account is collateralized by the securities and cash.If the value of the stock drops sufficiently, the account holder will be required to deposit more cash or sell a portion of the stock.n a margin account, you are investing with your broker's money. By using leverage in such a way, you magnify both gains and losses."
708644,481856,1,what is affecting dry bulk index,"On the flip side, investors must also recognize that higher commodity prices could be driven by supply shocks. Since these shocks reduce the amount of transportable iron ore and coal, shipping companies lose out. More importantly, dry bulk imports are affected by global differences in prices."
1043583,2731165,1,who made the original sound of silence,The Sound Of Silence - Simon & Garfunkel - MP3 instrumental karaoke. This title is a cover of The Sound Of Silence as made famous by Simon & Garfunkel. Tempo: variable (around 109 BPM) In the same key as the original: Eâ­m. This song ends without fade out. Duration: 3:04 - Preview at: 0:54.
587900,1600053,1,what causes finger cramps,"The most common causes of hand or finger cramps or spasms are muscle spasm, diabetes, and carpal tunnel syndrome.Other possible causes, such as multiple sclerosis, are more rare.ithin all the people who go to their doctor with hand or finger cramps or spasms, 47% report having hand or finger pain, 34% report having foot or toe cramps or spasms, and 34% report having leg cramps or spasms. 1  Hand or finger pain 47. 2  Foot or toe cramps or spasms strong predictor 34. 3  Headache 34."
1180773,3257441,1,how long can blood samples be stored for years,"According to the University of California, Los Angeles, blood components should be stored as follows: Red blood cells can be stored for up to 42 days at 1Â°C - 6Â°C, depending on the additive. When kept at -65Â°C or below, red blood cells can be stored for up to 10 years. Platelets can be stored at 20Â°C - 24Â°C for up to 5 days with constant agitation. Plasma that is frozen at temperatures of -18Â°C or below within 8 hours of collection, platelets can be stored for up to 1 year. However, for long term storage there are different best practices that should be closely followed."
191021,2732576,1,former contestants on amerian idol,"Related Tags: LOS ANGELES (CBSLA.com) â A former contestant on âAmerican Idolâ has lost her year-long battle with cancer. Joanne Borgella, 32, was a Top 12 female contestant during the showâs 7th season in 2008. She died, according to her family, at 5:45 Saturday morning.elated Tags: LOS ANGELES (CBSLA.com) â A former contestant on âAmerican Idolâ has lost her year-long battle with cancer. Joanne Borgella, 32, was a Top 12 female contestant during the showâs 7th season in 2008. She died, according to her family, at 5:45 Saturday morning."
827118,3467256,1,what is the largest dinosaur,"Reconstructed skeleton of the titanosaur Argentinosaurus huinculensis, often considered the largest known dinosaur. Size has been one of the most interesting aspects of dinosaur science to the general public and to scientists."
