query-id	corpus-id	score
206905	1845345	1
909002	4643516	1
608919	6076046	1
75096	3025667	1
753379	3522562	1
322642	5808031	1
545376	2153465	1
91131	6318439	1
1023010	3369590	1
82294	4833345	1
85793	6214028	1
687385	4498327	1
24282	5265937	1
623	2890975	1
114933	2055996	1
37924	6560403	1
488765	1454039	1
788334	4556569	1
1140505	2491640	1
149847	1291565	1
397000	5875025	1
271875	4310356	1
593849	7041343	1
559231	421843	1
182784	6491206	1
964428	3610199	1
149847	1291571	1
1037105	4254135	1
650723	1344122	1
129860	3275934	1
963359	3847570	1
1035694	6128121	1
901944	5359275	1
848875	3784241	1
310774	6220556	1
716086	6049600	1
74172	1025208	1
420632	926641	1
186466	5865205	1
576189	6808170	1
1037185	3963431	1
517790	5812368	1
769710	5329091	1
325092	4906872	1
744733	5923157	1
1000431	4693884	1
272189	1207698	1
861137	3535507	1
247093	182241	1
978519	3004510	1
544282	156728	1
704243	181208	1
503903	194044	1
426290	284749	1
126554	338731	1
398889	355969	1
692226	411609	1
1161750	438121	1
314378	440675	1
1159935	623138	1
312472	936194	1
116889	939743	1
236093	1013104	1
752378	1177082	1
494962	1232044	1
561829	1258162	1
530853	1279947	1
1182659	1288569	1
1182638	1310556	1
394566	1350614	1
656630	1432554	1
526394	1446229	1
647091	1540917	1
697428	1574428	1
520682	1581089	1
519391	1611854	1
1149719	1622484	1
1149628	1631593	1
1184528	1650046	1
180451	1652111	1
128219	1693788	1
691796	1786590	1
109175	1911655	1
667392	1911885	1
738607	1950360	1
703249	2056562	1
626409	2074427	1
633090	2115867	1
519691	2129689	1
884447	2247691	1
1030944	2291068	1
921407	2390636	1
654808	2411239	1
254132	2428166	1
343068	2447033	1
646692	2451424	1
837479	2638691	1
986062	2657720	1
452663	2718418	1
1079282	2836640	1
778495	2850328	1
234261	2877568	1
992744	2894669	1
933723	2923121	1
1062883	2953506	1
263351	2998807	1
399739	3030179	1
933183	2092858	1
1007811	3103419	1
946278	3189019	1
916978	3272705	1
230940	3407270	1
893845	3420534	1
1071368	3467739	1
58013	3477257	1
987602	3488345	1
810193	3549149	1
920528	3607872	1
1010416	3619507	1
892622	3629942	1
268779	3741431	1
311664	3870273	1
1170094	3914991	1
1004028	3965834	1
861926	4063407	1
979782	4157642	1
961241	4172584	1
847385	4215775	1
837331	2927494	1
887932	4273156	1
837815	4357345	1
83251	4397732	1
290163	4435747	1
314531	4452045	1
273390	4563525	1
469893	4648118	1
1074254	4649841	1
1064233	4763876	1
989635	4775006	1
264401	4873971	1
1000190	2260533	1
931677	4964995	1
28659	5128074	1
283341	2492103	1
2899	5391686	1
122147	5488383	1
362081	5543185	1
88316	224740	1
990	5584124	1
277426	5638901	1
741196	5665129	1
325623	5678933	1
115146	5682757	1
199969	5706793	1
246400	5837485	1
296772	5843305	1
10885	5848526	1
155391	5940023	1
887905	5943010	1
716086	6049603	1
1013727	4936275	1
317486	4886566	1
856100	6222250	1
1009764	1897712	1
150060	6241385	1
421716	6283317	1
590520	6285365	1
30144	6330582	1
293296	6485994	1
314186	6590132	1
241692	5325434	1
488591	4058105	1
57496	6817229	1
731280	6833909	1
749355	6896047	1
718996	6909364	1
593849	7041344	1
1166099	7693618	1
257080	1269272	1
266495	8612557	1
