query-id	corpus-id	score
99551	3315324	1
81040	3395711	1
973907	6226908	1
690081	5874016	1
708644	481856	1
1043583	2731165	1
587900	1600053	1
1180773	3257441	1
191021	2732576	1
827118	3467256	1
21899	5594834	1
663642	7856391	1
547020	2195116	1
878514	6313126	1
1055705	3263967	1
272189	1207698	1
320306	4433694	1
540469	668945	1
1037643	5348341	1
754244	915567	1
455052	1280807	1
883093	4805351	1
1069441	3430025	1
969368	3057231	1
1077680	3824272	1
962412	4817610	1
25667	759930	1
761081	5111064	1
334712	2308632	1
846970	3134943	1
909703	5446200	1
437092	5303693	1
744733	5923157	1
807076	6295135	1
240828	6433498	1
829151	2603734	1
988191	4349474	1
948500	508117	1
1171126	2874103	1
258477	1112243	1
567868	1743802	1
1163573	236001	1
1156565	964095	1
993847	2272469	1
774310	2638555	1
90577	3349649	1
775737	3743339	1
969534	4691004	1
572794	420184	1
702478	7864807	1
1031693	3940295	1
863820	5324774	1
675550	6048623	1
596043	2208966	1
602974	2114594	1
1018523	3252719	1
611499	842386	1
702869	1633714	1
386447	841386	1
1005416	4944456	1
284219	6016517	1
554497	601265	1
439600	1152999	1
762145	3433361	1
419301	705685	1
1070553	2669297	1
802746	4002501	1
73766	2263296	1
986474	5412888	1
878287	3685422	1
284193	2989450	1
1040194	2473741	1
56656	4362711	1
230490	6833901	1
1139385	2595934	1
139305	2880515	1
1035985	486237	1
774834	2559548	1
1018824	2243923	1
174094	3410912	1
391988	507748	1
60876	5787691	1
4546	608684	1
321431	7369210	1
768452	2239570	1
1137901	2741762	1
1070976	4323115	1
102053	5859016	1
416775	1982076	1
85793	6214028	1
581366	1026049	1
27599	1568626	1
535209	7300635	1
362742	4557100	1
622503	1192028	1
85597	1410637	1
53438	550814	1
880181	3315352	1
154137	4116702	1
194304	2693200	1
301483	1326722	1
839994	5985741	1
896155	3631314	1
871351	2928054	1
1039157	4682078	1
596250	6819208	1
642849	133104	1
231830	736041	1
244195	1687458	1
35291	6992874	1
788287	2727877	1
745404	2170051	1
855950	4222248	1
803918	5192573	1
319474	3138849	1
928658	4530251	1
515100	5871641	1
603371	4168964	1
11878	5625087	1
960293	4183021	1
51659	3608255	1
567479	1287504	1
289606	6412278	1
738885	4409100	1
660880	2932863	1
925351	4797835	1
51709	601203	1
797459	4085914	1
51017	3770198	1
725860	1628516	1
874472	3571112	1
855256	2512597	1
338035	5170506	1
124994	2339883	1
1139099	2625607	1
614041	6825474	1
145961	810209	1
330134	5447258	1
307866	3333829	1
1165884	7901934	1
579954	2995499	1
229753	3328563	1
1179875	4162432	1
1062238	2505878	1
83505	5516179	1
507933	1184627	1
652454	594994	1
614731	606459	1
40430	4082377	1
369070	6422913	1
866871	4161773	1
445977	1651014	1
53371	7046655	1
679982	3440639	1
758548	661989	1
630413	982643	1
729445	2189781	1
684694	6037253	1
333104	2609615	1
1172617	1346795	1
756030	1527630	1
1058824	4705116	1
901847	4895872	1
519855	7853867	1
892403	4707326	1
683610	5922180	1
534030	270661	1
763898	6302608	1
470126	1437178	1
51256	2029198	1
808434	2971977	1
292420	5042767	1
636662	1425943	1
1006744	4636252	1
446344	5890285	1
747749	954871	1
785888	6135226	1
999504	2835836	1
422403	6284949	1
358192	4329883	1
835076	3087307	1
976573	5966474	1
720776	920813	1
591872	720442	1
477167	1571203	1
968500	3947435	1
604948	4292417	1
1140573	2485042	1
1016464	2787148	1
623	2890975	1
490138	471602	1
987077	2643476	1
329453	5507348	1
563254	786859	1
563337	7044790	1
572937	921791	1
627302	701558	1
807831	3371157	1
647724	6260045	1
746177	331084	1
160812	2270594	1
527270	6169969	1
471553	5319305	1
188717	2277775	1
628428	5659945	1
159845	3357206	1
1000015	4893683	1
1035694	6128121	1
15653	1905362	1
226449	5772286	1
327866	6642793	1
116476	5625551	1
608094	631605	1
300841	2951530	1
513027	5912862	1
1029951	3081700	1
627046	248284	1
824897	4425465	1
662718	3669267	1
191764	6428317	1
490021	623110	1
606547	3940287	1
892656	4504104	1
594941	7921333	1
717915	1749789	1
768950	5400897	1
1020234	4513965	1
917384	3075651	1
721891	1590141	1
324028	5635618	1
4354	6267449	1
175861	2119940	1
