query-id	corpus-id	score
206905	1845345	1
909002	4643516	1
608919	6076046	1
75096	3025667	1
753379	3522562	1
322642	5808031	1
545376	2153465	1
91131	6318439	1
1023010	3369590	1
82294	4833345	1
85793	6214028	1
687385	4498327	1
24282	5265937	1
623	2890975	1
114933	2055996	1
37924	6560403	1
488765	1454039	1
788334	4556569	1
1140505	2491640	1
149847	1291565	1
149847	1291571	1
397000	5875025	1
271875	4310356	1
593849	7041343	1
559231	421843	1
182784	6491206	1
964428	3610199	1
1037105	4254135	1
650723	1344122	1
129860	3275934	1
963359	3847570	1
1035694	6128121	1
901944	5359275	1
848875	3784241	1
310774	6220556	1
716086	6049600	1
74172	1025208	1
420632	926641	1
186466	5865205	1
576189	6808170	1
1037185	3963431	1
517790	5812368	1
769710	5329091	1
325092	4906872	1
744733	5923157	1
1000431	4693884	1
272189	1207698	1
861137	3535507	1
247093	182241	1
978519	3004510	1
170606	7923438	1
644545	3843773	1
682104	2105125	1
735817	1010937	1
1183950	560489	1
699661	1035022	1
593193	5576870	1
509409	1111450	1
859425	3460665	1
1018199	2438281	1
1180175	3866904	1
419461	6171189	1
996612	2300443	1
373236	1923475	1
1045805	2781208	1
732290	1541209	1
370881	5129158	1
745001	5446658	1
1052373	3151801	1
1052373	3151808	1
198927	4845147	1
778349	3721160	1
1146265	1940884	1
455308	354329	1
394408	1456145	1
394408	1456146	1
546739	6867891	1
701849	6943911	1
305220	3866550	1
532668	1553766	1
776869	5945701	1
393183	6054811	1
1137601	2771050	1
650619	2133768	1
1033617	2699306	1
515100	5871641	1
545945	1715187	1
418808	3278262	1
1147673	1810884	1
1145009	2031923	1
1145009	2053852	1
785527	398761	1
992739	5051915	1
578956	2773210	1
133309	155991	1
736536	8004140	1
80211	1754565	1
629088	2956990	1
957617	4803606	1
160774	6854185	1
160774	6854193	1
810820	1463458	1
1155441	1073126	1
27240	5541374	1
405715	6763455	1
575182	1390053	1
695137	579172	1
83468	4379172	1
587185	1544181	1
587185	590697	1
393133	6856063	1
439600	1152999	1
496993	5464155	1
258477	1112243	1
314062	4450253	1
691249	4567448	1
1050291	4119222	1
506379	1760379	1
826122	2884799	1
195717	4022408	1
849933	4261563	1
956619	3504216	1
93561	4800797	1
1075551	2806222	1
179997	3028038	1
394275	552753	1
769915	6232141	1
991117	5151252	1
152146	6360645	1
700506	1127905	1
134471	1693912	1
197401	5504811	1
241105	4202233	1
1163910	199142	1
399575	345167	1
913353	3355855	1
839877	3507632	1
363107	5545415	1
692799	260808	1
520858	6048403	1
83531	3705347	1
450602	6805062	1
891376	4069741	1
229649	5256101	1
994693	2492661	1
1074591	3635668	1
973435	4248237	1
832983	4885902	1
1183587	335223	1
181873	2773703	1
31535	3561968	1
449855	7271355	1
140104	1125373	1
815475	2948722	1
899050	3423620	1
770961	1937952	1
851982	3049229	1
988014	4491830	1
52741	6754163	1
826567	3292672	1
368946	6567525	1
107053	3280871	1
1180773	3257441	1
105469	2312080	1
192602	2199750	1
192602	2199751	1
395064	5852204	1
1169764	4210765	1
242385	6865587	1
113434	729102	1
671654	1782609	1
653166	1104039	1
402307	410678	1
1019448	891462	1
788287	2727877	1
939321	3062759	1
973680	2876535	1
621239	1685470	1
621239	1685472	1
816426	6228288	1
942041	2930010	1
347622	2531808	1
572183	2859409	1
462853	603080	1
465536	398928	1
689201	797351	1
689201	797354	1
248808	6022069	1
781752	2545574	1
1011450	3397342	1
51709	601203	1
343021	5548510	1
1081602	4871100	1
1040668	3308347	1
1153682	1237293	1
793287	5319550	1
1012162	3981305	1
196042	332652	1
977374	5251779	1
1027773	3841791	1
501791	6666792	1
749840	1640633	1
413860	1644563	1
1062080	3173298	1
909178	4003347	1
909178	4003350	1
771939	3192027	1
76446	6121189	1
76446	1891294	1
456117	200921	1
438014	5461432	1
797459	4085914	1
4891	2000836	1
4891	2000841	1
466132	1735577	1
587056	2138794	1
1050038	3759486	1
1145854	1979324	1
242178	2242754	1
1040281	4357482	1
332007	2394532	1
685862	2004255	1
125081	2670354	1
1077680	3824272	1
603854	2238208	1
1169220	4748281	1
943439	4173966	1
901489	3411946	1
793075	2662866	1
1166788	7040857	1
1043583	2731165	1
785339	3324964	1
354355	5501723	1
1157572	861637	1
178217	6631216	1
309911	5831192	1
309911	5831193	1
174492	4080821	1
726626	1675690	1
1140573	2485042	1
534030	270661	1
940092	5264748	1
462532	6924782	1
837008	4684757	1
52105	6588854	1
259756	4660362	1
141090	4027929	1
710608	935217	1
871573	3631869	1
85597	1410637	1
274969	2644146	1
496416	1243552	1
73760	4547082	1
735921	5012010	1
650158	6077532	1
745404	2170050	1
745404	2170051	1
717923	1768267	1
487366	529698	1
487366	529701	1
856786	2519481	1
83505	5516177	1
83505	5516179	1
416832	1906268	1
612292	4083755	1
877065	3345484	1
702869	1633714	1
559167	1656008	1
744198	1455103	1
661391	2196965	1
1952	975249	1
324885	4404551	1
1059134	4967296	1
420012	6271324	1
1010091	3188759	1
759204	968767	1
460040	6212134	1
15653	1905362	1
679581	1777894	1
946356	3587549	1
929319	4315142	1
886899	2780059	1
855256	2512597	1
642091	3131587	1
642091	3643034	1
744420	545971	1
917384	3075650	1
917384	3075651	1
1011610	4573115	1
130784	1336069	1
1077393	3450561	1
1077393	3450562	1
161366	6661788	1
95289	3950324	1
1153524	1253370	1
970790	5291131	1
746011	528978	1
596402	780137	1
18201	349068	1
611968	6069601	1
953412	4413678	1
776220	2611293	1
452732	1227084	1
982472	4388153	1
982472	4388156	1
652454	594994	1
598473	854112	1
759199	796663	1
333104	2609615	1
714779	5928025	1
1170954	3047213	1
602974	2114594	1
569525	6767581	1
428398	3348665	1
824897	4425465	1
369070	6422913	1
755329	1319290	1
505759	6981658	1
646108	2014007	1
319684	3800498	1
371060	3694154	1
313197	6379419	1
233108	6642560	1
810405	2556151	1
563337	7044790	1
890638	6299431	1
1172881	1066799	1
407547	7548743	1
942999	2285218	1
98043	2790382	1
1138540	2679971	1
102053	5859016	1
161177	5607845	1
756030	1527630	1
1042720	3716114	1
254095	599640	1
316371	2350000	1
316371	2350002	1
109087	3183938	1
36078	5917751	1
1042551	3796897	1
68840	1623747	1
124856	3747117	1
805388	5295829	1
1175450	5764556	1
1002996	4747857	1
550253	199336	1
989718	6304397	1
40962	1389291	1
723902	922047	1
494435	1013980	1
987900	2280915	1
722057	1193556	1
866429	3640781	1
866429	3640782	1
966954	2457981	1
801264	6221807	1
255036	5527901	1
422403	6284949	1
482539	6273843	1
951563	4361312	1
1067436	3116575	1
999314	5188775	1
1175568	6992405	1
1034527	5235244	1
109479	1171447	1
581802	942315	1
540469	668945	1
696824	2219669	1
640655	6644052	1
