query-id	corpus-id	score
206905	1845345	1
909002	4643516	1
608919	6076046	1
75096	3025667	1
753379	3522562	1
322642	5808031	1
545376	2153465	1
91131	6318439	1
1023010	3369590	1
82294	4833345	1
85793	6214028	1
687385	4498327	1
24282	5265937	1
623	2890975	1
114933	2055996	1
37924	6560403	1
488765	1454039	1
788334	4556569	1
1140505	2491640	1
149847	1291565	1
397000	5875025	1
271875	4310356	1
593849	7041343	1
559231	421843	1
182784	6491206	1
964428	3610199	1
149847	1291571	1
1037105	4254135	1
650723	1344122	1
129860	3275934	1
963359	3847570	1
1035694	6128121	1
901944	5359275	1
848875	3784241	1
310774	6220556	1
716086	6049600	1
74172	1025208	1
420632	926641	1
186466	5865205	1
576189	6808170	1
1037185	3963431	1
517790	5812368	1
769710	5329091	1
325092	4906872	1
744733	5923157	1
1000431	4693884	1
272189	1207698	1
861137	3535507	1
247093	182241	1
978519	3004510	1
